match,team1,direct_play,counterattack,T_maintenance,T_build_up,T_zona_media,flow_rate,crossing,pressure_point,pressure_loss,shots,liga
2499771,1673,302.1948688609122,36.494116145624844,295.0323039999995,141.2619589999997,415.5831560000003,8.1424591480554,6,1746.0,117.18414599999869,0,England
2499772,1623,285.94501327405453,43.37903909737761,254.4958210000005,387.878410999999,418.41007300000047,14.892136237519958,12,1711.0,63.78180299999963,4,England
2499772,1659,260.44655180649266,50.048449693370486,215.2440190000002,232.94601699999924,596.1550020000004,10.940488315606435,5,1715.0,60.873946000000274,1,England
2499773,1612,223.17035290616087,40.441483188977344,279.34048800000085,362.2134250000001,290.57606899999917,12.866622653788983,5,2144.0,44.42174800000066,6,England
2499773,1631,180.2047630142575,44.85441702077752,93.7654500000009,105.81083299999955,265.2354289999987,8.572634543881414,8,1108.0,129.45364699999982,0,England
2499774,1625,480.58040325764523,81.16472229126619,446.4553120000011,651.0861680000012,720.5515439999965,18.49089788340671,17,2711.0,61.53427900000054,6,England
2499774,1628,193.98030587400595,17.61951567756321,162.1794549999999,283.77708299999983,348.6975420000008,6.2553899159431285,4,1213.0,216.4269280000002,2,England
2499775,1611,217.9767141481695,41.460938798870686,197.99080099999912,255.2802589999999,340.61992799999996,11.364521315233743,1,1388.0,93.38745100000028,1,England
2499775,1619,330.73677322726985,24.003409597675855,431.69917900000024,412.0642149999994,422.01020199999977,12.067085536768333,11,2210.0,128.96195499999953,4,England
2499776,1610,326.6645293999577,46.00219211958388,433.00298499999883,234.7737519999996,674.7927830000007,6.733713927410184,2,1458.0,112.25387199999977,1,England
2499776,1639,318.21488874397187,52.6204999906232,309.877519,282.7865430000001,422.33837599999856,12.846378069538183,10,1665.0,44.04342799999972,0,England
2499777,1644,199.93030423636728,11.179814277440974,213.78973300000132,125.23685199999863,388.2021390000007,9.891372869107313,3,1329.0,53.548789000000625,3,England
2499777,10531,242.2529679690822,37.13301863810852,331.67724599999974,350.1845120000005,557.2370529999978,8.970053200328598,11,1443.0,61.73091299999976,3,England
2499778,1624,282.4411347910637,103.87413622247703,192.15711900000025,134.5368800000003,510.3804979999997,9.448676229331566,5,1887.0,70.76119399999965,2,England
2499778,1633,251.91969063797916,28.321290532271384,316.7190700000007,299.03100900000004,251.20756899999708,8.709855643854167,7,1405.0,45.335411000001045,4,England
2499779,1631,167.1305803223171,17.974983856111265,181.1970040000017,208.21231300000045,244.6843380000023,6.6767832623595496,3,963.0,48.59524199999987,1,England
2499779,1659,384.46573179040865,112.11620694721661,171.41204700000014,380.97321,567.6587829999994,13.496318386728007,9,2189.0,102.73806700000034,4,England
2499780,1609,327.4007644160737,45.5957608625936,178.95738700000032,536.2758460000007,848.7107749999972,16.819455454310827,3,1959.0,89.06314800000018,5,England
2499780,1651,215.07447157762104,34.85449273436711,295.5609470000009,334.7346140000002,228.76459999999918,10.07770295001292,6,947.0,77.97300199999938,2,England
2499781,1610,246.01429025200875,26.816352055561158,584.692842,212.76260299999961,314.83840799999973,7.564043008718177,7,1244.0,31.57625100000041,0,England
2499781,1625,460.4558933035458,73.44205585956865,449.59201100000075,207.9202590000001,950.9612470000002,14.40487748438807,8,2259.0,74.58245899999986,0,England
2499782,1623,408.8262412088557,81.81593888603423,265.6565049999989,547.4687480000022,566.554312000001,19.38407705566032,20,2698.0,39.61425599999922,9,England
2499782,1646,189.70617304015187,30.946988561540465,57.323859000000084,57.64299999999923,271.0506409999997,4.063449313518311,6,758.0,37.82791600000019,1,England
2499783,1624,294.0711718641584,52.36320937155826,372.11543299999835,146.94648800000095,502.6628960000013,8.890332536479397,6,2220.0,138.84821600000004,2,England
2499783,1673,214.6521393355139,16.81826721218057,469.99365799999964,272.9753909999985,244.36879599999997,7.147830700278418,9,1617.0,79.68055999999945,1,England
2499784,1611,345.2338903492781,25.50864246829032,454.17508800000167,162.59023799999943,579.6269010000003,7.701553807504479,8,1846.0,84.70815199999936,2,England
2499784,1628,214.0755581229671,29.013709467891793,241.09585600000014,247.56344900000022,505.4409040000006,12.52573333414976,7,1594.0,64.00959299999954,3,England
2499785,1612,318.3700239013517,37.528525458025285,103.01562200000058,504.4717500000007,1039.5283490000002,17.17343312591863,13,2803.0,134.25387099999955,6,England
